Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2013,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),895.842295
2013,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3856.43553
2013,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),111.422865
2013,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),612.972536
2013,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),961.557167
2013,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),535.450771
2013,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),96.375659
2013,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),77.993382
2013,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),181.828945
2013,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),84.191371
2013,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),295.074943
2014,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),622.685612
2014,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),154.001448
2014,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),84.749264
2014,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),1086.727283
2014,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),3297.266
2014,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),169.694357
2014,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),623.980985
2014,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1154.453073
2014,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),466.41107
2014,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),104.072404
2014,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),61.936628
2014,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),124.832426
2014,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),111.079114
2014,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),582.683868
2014,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),587.368141
2014,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),135.050248
2014,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),43.777488
2014,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),1084.134665
2014,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),3840.850617
2014,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),133.659816
2014,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),698.218439
2014,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1169.586849
2014,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),424.139763
2014,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),97.365387
2014,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),65.757494
2014,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),124.24767
2014,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),85.174497
2014,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),293.872822
2015,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),651.346627
2015,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),204.945363
2015,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),54.008597
2015,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),1219.144465
2015,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),4209.830112
2015,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),198.071193
2015,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),966.861756
2015,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),907.682132
2015,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),456.285402
2015,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),102.10957
2015,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),93.94988
2015,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),111.40286
2015,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),81.255598
2015,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),335.716381
2015,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),655.9089
2015,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),211.921087
2015,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),51.1415
2015,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),1233.932313
2015,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),4190.362434
2015,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),213.297919
2015,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),981.460001
2015,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),923.488938
2015,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),413.709011
2015,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),99.89218
2015,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),86.720492
2015,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),117.417231
2015,By Ministry,Budget,Ministry of Youth Development and Sports,,,Value in Millions (VT),70.737065
2015,By Ministry,Budget,Prime Ministers Ministry,,,Value in Millions (VT),320.56523
2016,By Ministry,Actual,Constitutional Agencies,,,Value in Millions (VT),746.033775
2016,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),226.409526
2016,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),165.724606
2016,By Ministry,Actual,Ministry of Education & Training,,,Value in Millions (VT),846.446712
2016,By Ministry,Actual,Ministry of Finance and Economic Management,,,Value in Millions (VT),7115.592657
2016,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),162.613419
2016,By Ministry,Actual,Ministry of Health,,,Value in Millions (VT),626.709894
2016,By Ministry,Actual,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1037.371111
2016,By Ministry,Actual,Ministry of Internal Affairs,,,Value in Millions (VT),482.199527
2016,By Ministry,Actual,Ministry of Justice and Social Welfare,,,Value in Millions (VT),114.169396
2016,By Ministry,Actual,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),101.862105
2016,By Ministry,Actual,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),127.729218
2016,By Ministry,Actual,Ministry of Youth Development and Sports,,,Value in Millions (VT),229.803046
2016,By Ministry,Actual,Prime Ministers Ministry,,,Value in Millions (VT),384.885224
2016,By Ministry,Budget,Constitutional Agencies,,,Value in Millions (VT),726.329065
2016,By Ministry,Budget,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",,,Value in Millions (VT),170.218084
2016,By Ministry,Budget,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",,,Value in Millions (VT),96.039552
2016,By Ministry,Budget,Ministry of Education & Training,,,Value in Millions (VT),862.437305
2016,By Ministry,Budget,Ministry of Finance and Economic Management,,,Value in Millions (VT),5505.847075
2016,By Ministry,Budget,"Ministry of Foreign Affairs, International Cooperation and External Trade",,,Value in Millions (VT),144.648841
2016,By Ministry,Budget,Ministry of Health,,,Value in Millions (VT),642.050089
2016,By Ministry,Budget,Ministry of Infrastructure and Public Utilities,,,Value in Millions (VT),1143.888299
2016,By Ministry,Budget,Ministry of Internal Affairs,,,Value in Millions (VT),449.448166
2016,By Ministry,Budget,Ministry of Justice and Social Welfare,,,Value in Millions (VT),104.179794
2016,By Ministry,Budget,"Ministry of Lands, Mines & Water Resources",,,Value in Millions (VT),79.977426
2016,By Ministry,Budget,"Ministry of Tourism, Trade, Commerce and Ni- Vanuatu Business",,,Value in Millions (VT),104.48658
