Year,Series,Region,TypeofSchool,Value
2009,Population15+highestlevelofeducationcompleted,Tafea,Seniorsecondary,553
2009,Population15+highestlevelofeducationcompleted,Tafea,Tertiary,101
2020,Population15+highestlevelofeducationcompleted,,,133654
2020,Population15+highestlevelofeducationcompleted,,Primary,82765
2020,Population15+highestlevelofeducationcompleted,,Juniorsecondary,27047
2020,Population15+highestlevelofeducationcompleted,,Seniorsecondary,21148
2020,Population15+highestlevelofeducationcompleted,,Tertiary,2694
2020,Population15+highestlevelofeducationcompleted,PortVila,,23726
2020,Population15+highestlevelofeducationcompleted,PortVila,Primary,9400
2020,Population15+highestlevelofeducationcompleted,PortVila,Juniorsecondary,5709
2020,Population15+highestlevelofeducationcompleted,PortVila,Seniorsecondary,6898
2020,Population15+highestlevelofeducationcompleted,PortVila,Tertiary,1719
2020,Population15+highestlevelofeducationcompleted,Luganvile,,8602
2020,Population15+highestlevelofeducationcompleted,Luganvile,Primary,4058
2020,Population15+highestlevelofeducationcompleted,Luganvile,Juniorsecondary,2162
2020,Population15+highestlevelofeducationcompleted,Luganvile,Seniorsecondary,2215
2020,Population15+highestlevelofeducationcompleted,Luganvile,Tertiary,168
2020,Population15+highestlevelofeducationcompleted,Torba,,5120
2020,Population15+highestlevelofeducationcompleted,Torba,Primary,3866
2020,Population15+highestlevelofeducationcompleted,Torba,Juniorsecondary,808
2020,Population15+highestlevelofeducationcompleted,Torba,Seniorsecondary,427
2020,Population15+highestlevelofeducationcompleted,Torba,Tertiary,19
2020,Population15+highestlevelofeducationcompleted,Sanma,,19495
2020,Population15+highestlevelofeducationcompleted,Sanma,Primary,13735
2020,Population15+highestlevelofeducationcompleted,Sanma,Juniorsecondary,3609
2020,Population15+highestlevelofeducationcompleted,Sanma,Seniorsecondary,2057
2020,Population15+highestlevelofeducationcompleted,Sanma,Tertiary,93
2020,Population15+highestlevelofeducationcompleted,Penama,,15146
2020,Population15+highestlevelofeducationcompleted,Penama,Primary,10936
2020,Population15+highestlevelofeducationcompleted,Penama,Juniorsecondary,2652
2020,Population15+highestlevelofeducationcompleted,Penama,Seniorsecondary,1500
2020,Population15+highestlevelofeducationcompleted,Penama,Tertiary,59
2020,Population15+highestlevelofeducationcompleted,Malampa,,20024
2020,Population15+highestlevelofeducationcompleted,Malampa,Primary,14643
2020,Population15+highestlevelofeducationcompleted,Malampa,Juniorsecondary,3437
2020,Population15+highestlevelofeducationcompleted,Malampa,Seniorsecondary,1877
2020,Population15+highestlevelofeducationcompleted,Malampa,Tertiary,67
2020,Population15+highestlevelofeducationcompleted,Shefa,,27303
2020,Population15+highestlevelofeducationcompleted,Shefa,Primary,16430
2020,Population15+highestlevelofeducationcompleted,Shefa,Juniorsecondary,5999
2020,Population15+highestlevelofeducationcompleted,Shefa,Seniorsecondary,4370
2020,Population15+highestlevelofeducationcompleted,Shefa,Tertiary,504
2020,Population15+highestlevelofeducationcompleted,Tafea,,14236
2020,Population15+highestlevelofeducationcompleted,Tafea,Primary,9696
2020,Population15+highestlevelofeducationcompleted,Tafea,Juniorsecondary,2672
2020,Population15+highestlevelofeducationcompleted,Tafea,Seniorsecondary,1805
2020,Population15+highestlevelofeducationcompleted,Tafea,Tertiary,64
