Year,Ministry,Department,Program,Activity,Budget,Budget Type,Value
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Strategic Management,Payroll,Actual,9093315
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Strategic Management,Payroll,Budget,9724790
2004,Prime Ministers Ministry,Department of Strategic Policy Cordination & Corporate Services,Strategic Management,Strategic Management,Payroll,Original Budget,9724790
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Office of the Prime Minister,Administration & Coordination of Government Programmes,Operations,Actual,42054967
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Office of the Prime Minister,Administration & Coordination of Government Programmes,Operations,Budget,22285917
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Office of the Prime Minister,Administration & Coordination of Government Programmes,Operations,Original Budget,22285917
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Office of the Prime Minister,Administration & Coordination of Government Programmes,Payroll,Actual,31673396
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Office of the Prime Minister,Administration & Coordination of Government Programmes,Payroll,Budget,31761569
2004,Prime Ministers Ministry,Prime Ministers Cabinet,Office of the Prime Minister,Administration & Coordination of Government Programmes,Payroll,Original Budget,31761569
2004,Prime Ministers Ministry,Language Services Department,Language Services,Language Services,Operations,Actual,4597248
2004,Prime Ministers Ministry,Language Services Department,Language Services,Language Services,Operations,Budget,3970995
2004,Prime Ministers Ministry,Language Services Department,Language Services,Language Services,Operations,Original Budget,3970995
2004,Prime Ministers Ministry,Language Services Department,Language Services,Language Services,Payroll,Actual,11443430
2004,Prime Ministers Ministry,Language Services Department,Language Services,Language Services,Payroll,Budget,12172840
2004,Prime Ministers Ministry,Language Services Department,Language Services,Language Services,Payroll,Original Budget,12172840
2004,Ministry of Education & Training,MoE Cabinet,Cabinet Support,Cabinet Support Division,Operations,Actual,1132044
2004,Ministry of Education & Training,MoE Cabinet,Cabinet Support,Cabinet Support Division,Operations,Budget,1300000
2004,Ministry of Education & Training,MoE Cabinet,Cabinet Support,Cabinet Support Division,Operations,Original Budget,1300000
2004,Ministry of Education & Training,MoE Cabinet,Cabinet Support,Cabinet Support Division,Payroll,Actual,17963530
2004,Ministry of Education & Training,MoE Cabinet,Cabinet Support,Cabinet Support Division,Payroll,Budget,19252196
2004,Ministry of Education & Training,MoE Cabinet,Cabinet Support,Cabinet Support Division,Payroll,Original Budget,19252196
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Office of the Director General,Operations,Actual,67207907
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Office of the Director General,Operations,Budget,73764683
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Office of the Director General,Operations,Original Budget,75833000
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Office of the Director General,Payroll,Actual,44261333
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Office of the Director General,Payroll,Budget,49490203
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Office of the Director General,Payroll,Original Budget,47490907
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Administration & Finance Directorate,Operations,Actual,2636059
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Administration & Finance Directorate,Operations,Budget,3633728
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Administration & Finance Directorate,Operations,Original Budget,3836000
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Administration & Finance Directorate,Payroll,Actual,9727250
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Administration & Finance Directorate,Payroll,Budget,451060641
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Administration & Finance Directorate,Payroll,Original Budget,432810715
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Policy & Planning Directorate,Operations,Actual,7628442
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Policy & Planning Directorate,Operations,Budget,8113800
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Policy & Planning Directorate,Operations,Original Budget,8085000
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Policy & Planning Directorate,Payroll,Actual,34014804
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Policy & Planning Directorate,Payroll,Budget,40314873
2004,Ministry of Education & Training,Director General Directorate,Executive Management and Corporate Services,Policy & Planning Directorate,Payroll,Original Budget,40314873
2004,Ministry of Education & Training,Director General Directorate,Education Services,Education Services Directorate,Operations,Actual,49412349
2004,Ministry of Education & Training,Director General Directorate,Education Services,Education Services Directorate,Operations,Budget,52600000
2004,Ministry of Education & Training,Director General Directorate,Education Services,Education Services Directorate,Operations,Original Budget,46600000
2004,Ministry of Education & Training,Director General Directorate,Education Services,Education Services Directorate,Payroll,Actual,870755239
2004,Ministry of Education & Training,Director General Directorate,Education Services,Education Services Directorate,Payroll,Budget,802234523
2004,Ministry of Education & Training,Director General Directorate,Education Services,Education Services Directorate,Payroll,Original Budget,808075502
2004,Ministry of Education & Training,Director General Directorate,Education Services,Secondary Schools,Operations,Actual,71759217
2004,Ministry of Education & Training,Director General Directorate,Education Services,Secondary Schools,Operations,Budget,72175346
2004,Ministry of Education & Training,Director General Directorate,Education Services,Secondary Schools,Operations,Original Budget,90343000
2004,Ministry of Education & Training,Director General Directorate,Education Services,Secondary Schools,Payroll,Actual,431264967
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Operations,Actual,124865603
2004,Ministry of Education & Training,Director General Directorate,Education Services,Primary Schools,Operations,Budget,26809193
