Year,Series,Region,Wall Material,Roof Material,Type of Lighting,Type of Cooking Fuel,Unnamed: 8,Value
2020,Number of private households main roof material,Port Vila,,Makeshift or improvised materials,,,,183
2020,Number of private households main roof material,Port Vila,,Metal,,,,10185
2020,Number of private households main roof material,Port Vila,,Others,,,,6
2020,Number of private households main roof material,Port Vila,,Traditional materials,,,,101
2020,Number of private households main roof material,Port Vila,,Wood,,,,190
2020,Number of private households main roof material,Luganville,,,,,,3584
2020,Number of private households main roof material,Luganville,,Concrete,,,,71
2020,Number of private households main roof material,Luganville,,Makeshift or improvised materials,,,,63
2020,Number of private households main roof material,Luganville,,Metal,,,,3032
2020,Number of private households main roof material,Luganville,,Others,,,,5
2020,Number of private households main roof material,Luganville,,Traditional materials,,,,399
2020,Number of private households main roof material,Luganville,,Wood,,,,14
2020,Number of private households main roof material,Torba,,,,,,2392
2020,Number of private households main roof material,Torba,,Concrete,,,,64
2020,Number of private households main roof material,Torba,,Makeshift or improvised materials,,,,5
2020,Number of private households main roof material,Torba,,Metal,,,,493
2020,Number of private households main roof material,Torba,,Others,,,,0
2020,Number of private households main roof material,Torba,,Traditional materials,,,,1826
2020,Number of private households main roof material,Torba,,Wood,,,,3
2020,Number of private households main roof material,Sanma,,,,,,9306
2020,Number of private households main roof material,Sanma,,Concrete,,,,163
2020,Number of private households main roof material,Sanma,,Makeshift or improvised materials,,,,120
2020,Number of private households main roof material,Sanma,,Metal,,,,3534
2020,Number of private households main roof material,Sanma,,Others,,,,5
2020,Number of private households main roof material,Sanma,,Traditional materials,,,,5411
2020,Number of private households main roof material,Sanma,,Wood,,,,73
2020,Number of private households main roof material,Penama,,,,,,7863
2020,Number of private households main roof material,Penama,,Concrete,,,,211
2020,Number of private households main roof material,Penama,,Makeshift or improvised materials,,,,239
2020,Number of private households main roof material,Penama,,Metal,,,,2846
2020,Number of private households main roof material,Penama,,Others,,,,8
2020,Number of private households main roof material,Penama,,Traditional materials,,,,4536
2020,Number of private households main roof material,Penama,,Wood,,,,24
2020,Number of private households main roof material,Malampa,,,,,,9715
2020,Number of private households main roof material,Malampa,,Concrete,,,,230
2020,Number of private households main roof material,Malampa,,Makeshift or improvised materials,,,,79
2020,Number of private households main roof material,Malampa,,Metal,,,,2668
2020,Number of private households main roof material,Malampa,,Others,,,,11
2020,Number of private households main roof material,Malampa,,Traditional materials,,,,6672
2020,Number of private households main roof material,Malampa,,Wood,,,,56
2020,Number of private households main roof material,Shefa,,,,,,11148
2020,Number of private households main roof material,Shefa,,Concrete,,,,250
2020,Number of private households main roof material,Shefa,,Makeshift or improvised materials,,,,87
2020,Number of private households main roof material,Shefa,,Metal,,,,9065
2020,Number of private households main roof material,Shefa,,Others,,,,2
2020,Number of private households main roof material,Shefa,,Traditional materials,,,,1599
2020,Number of private households main roof material,Shefa,,Wood,,,,144
2020,Number of private households main roof material,Tafea,,,,,,8239
2020,Number of private households main roof material,Tafea,,Concrete,,,,277
