Year,Major Industry,Minor Industry,Value
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,64.0
2017,"Professional, scientific and technical activities",Management consultancy activities,91.0
2017,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2017,Manufacturing,Manufacture of basic iron and steel,6.0
2017,Manufacturing,Manufacture of beverages,9.0
2017,Manufacturing,Manufacture of dairy products,1.0
2017,Manufacturing,Manufacture of furniture,2.0
2017,Manufacturing,Manufacture of general-purpose machinery,1.0
2017,Manufacturing,Manufacture of knitted and crocheted apparel,1.0
2017,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,9.0
2017,Manufacturing,Manufacture of other chemical products,14.0
2017,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2017,Manufacturing,Manufacture of other food products,37.0
2017,Manufacturing,Manufacture of paper and paper products,1.0
2017,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",12.0
2017,Manufacturing,Manufacture of plastics products,1.0
2017,Manufacturing,Manufacture of prepared animal feeds,1.0
2017,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",20.0
2017,Manufacturing,Manufacture of refined petroleum products,2.0
2017,Manufacturing,Manufacture of rubber products,2.0
2017,Manufacturing,Manufacture of sports goods,
2017,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",5.0
2017,Manufacturing,Manufacture of vegetable and animal oils and fats,5.0
2017,Manufacturing,"Manufacture of wearing apparel, except fur apparel",10.0
2017,Human health and social work activities,Medical and dental practice activities,23.0
2017,Mining and quarrying,Mining and quarrying n.e.c.,2.0
2017,"Agriculture, forestry and fishing",Mixed farming,1.0
2017,Financial and insurance activities,Monetary intermediation,4.0
2017,Information and communication,"Motion picture, video and television programme activities",3.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,3.0
2017,Administrative and support service activities,Office administrative and support activities,12.0
2017,Administrative and support service activities,Organization of conventions and trade shows,7.0
2017,"Arts, entertainment and recreation",Other amusement and recreation activities,48.0
2017,Education,Other education,17.0
2017,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",60.0
2017,Human health and social work activities,Other human health activities,31.0
2017,Transportation and storage,Other land transport,833.0
2017,Manufacturing,Other manufacturing n.e.c.,7.0
2017,Other service activities,Other personal service activities,41.0
2017,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",129.0
2017,Administrative and support service activities,Other reservation service and related activities,
2017,Construction,Other specialized construction activities,15.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,15.0
2017,Information and communication,Other telecommunications activities,24.0
2017,Transportation and storage,Passenger air transport,8.0
2017,"Professional, scientific and technical activities",Photographic activities,17.0
2017,"Agriculture, forestry and fishing",Plant propagation,
2017,Transportation and storage,Postal activities,5.0
2017,Education,Pre-primary and primary education,12.0
2017,Manufacturing,Printing and service activities related to printing,17.0
2017,Administrative and support service activities,Private security activities,34.0
2017,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2017,Manufacturing,Processing and preserving of fruit and vegetables,1.0
2017,Manufacturing,Processing and preserving of meat,2.0
2017,Public administration and defence; compulsory social security,Provision of services to the community as a whole,
2017,Information and communication,"Publishing of books, periodicals and other publishing activities",6.0
2017,Mining and quarrying,"Quarrying of stone, sand and clay",7.0
2017,Information and communication,Radio broadcasting,3.0
2017,Real estate activities,Real estate activities on a fee or contract basis,95.0
2017,Real estate activities,Real estate activities with own or leased property,9.0
2017,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,5.0
2017,Administrative and support service activities,Renting and leasing of motor vehicles,37.0
2017,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",48.0
2017,Administrative and support service activities,Renting and leasing of personal and household goods,6.0
2017,Other service activities,Repair of computers and communication equipment,18.0
2017,Manufacturing,"Repair of fabricated metal products, machinery and equipment",42.0
2017,Other service activities,Repair of personal and household goods,15.0
2017,Information and communication,Reproduction of recorded media,
2017,Accommodation and food service activities,Restaurants and mobile food service activities,292.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,590.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,21.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,11.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",44.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,17.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,206.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,45.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,3.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",6.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,14.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,12.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",14.0
2017,Information and communication,Satellite telecommunications activities,6.0
2017,Manufacturing,Sawmilling and planing of wood,4.0
2017,Transportation and storage,Sea and coastal water transport,40.0
2017,Education,Secondary education,1.0
2017,Administrative and support service activities,Security systems service activities,4.0
2017,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2017,Accommodation and food service activities,Short term accommodation activities,140.0
2017,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2017,Information and communication,Sound recording and music publishing activities,2.0
2017,"Professional, scientific and technical activities",Specialized design activities,5.0
2017,Manufacturing,"Spinning, weaving and finishing of textiles",
2017,"Arts, entertainment and recreation",Sports activities,13.0
2017,Transportation and storage,Support activities for transportation,134.0
2017,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,
2017,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1.0
2017,Information and communication,Television programming and broadcasting activities,5.0
2017,Administrative and support service activities,Travel agency and tour operator activities,68.0
2017,Financial and insurance activities,"Trusts, funds and similar financial entities",4.0
2017,"Professional, scientific and technical activities",Veterinary activities,3.0
2017,Transportation and storage,Warehousing and storage,8.0
2017,"Water supply; sewerage, waste management and remediation activities",Waste collection,4.0
2017,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2017,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",5.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,4.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",6.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,18.0
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",3.0
2017,Information and communication,Wired telecommunications activities,2.0
2017,Information and communication,Wireless telecommunications activities,10.0
2018,,,4421.0
2018,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",37.0
2018,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",36.0
2018,Financial and insurance activities,Activities auxiliary to insurance and pension funding,16.0
2018,Other service activities,"Activities of business, employers and professional membership organizations",1.0
2018,Administrative and support service activities,Activities of call centres,
2018,Administrative and support service activities,Activities of employment placement agencies,7.0
2018,"Professional, scientific and technical activities",Activities of head offices,33.0
2018,"Professional, scientific and technical activities",Advertising,14.0
2018,"Agriculture, forestry and fishing",Animal production,10.0
2018,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,36.0
2018,Accommodation and food service activities,Beverage serving activities,95.0
2018,Construction,Building completion and finishing,3.0
2018,Manufacturing,Building of ships and boats,3.0
2018,Administrative and support service activities,Business support service activities n.e.c.,17.0
2018,Manufacturing,Casting of metals,
2018,Administrative and support service activities,Cleaning activities,17.0
2018,Information and communication,"Computer programming, consultancy and related activities",7.0
2018,Construction,Construction of buildings,158.0
2018,Construction,Construction of other civil engineering projects,2.0
2018,Construction,Construction of roads and railways,20.0
2018,Construction,Construction of utility projects,2.0
2018,Transportation and storage,Courier activities,1.0
2018,"Arts, entertainment and recreation","Creative, arts and entertainment activities",8.0
2018,Information and communication,"Data processing, hosting and related activities; web portals",2.0
2018,Construction,Demolition and site preparation,6.0
2018,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",6.0
2018,Construction,"Electrical, plumbing and other construction installation activities",52.0
2018,Accommodation and food service activities,Event catering and other food service activities,18.0
2018,"Agriculture, forestry and fishing",Fishing,2.0
2018,"Arts, entertainment and recreation",Gambling and betting activities,1.0
2018,"Agriculture, forestry and fishing",Growing of non-perennial crops,1.0
2018,"Agriculture, forestry and fishing",Growing of perennial crops,1.0
2018,Education,Higher education,5.0
2018,Human health and social work activities,Hospital activities,1.0
2018,Transportation and storage,Inland water transport,
2018,Administrative and support service activities,Landscape care and maintenance service activities,8.0
2018,"Professional, scientific and technical activities",Legal activities,33.0
2018,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",
2018,"Agriculture, forestry and fishing",Logging,3.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,75.0
2018,"Professional, scientific and technical activities",Management consultancy activities,105.0
2018,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2018,Manufacturing,Manufacture of basic iron and steel,6.0
2018,Manufacturing,Manufacture of beverages,9.0
2018,Manufacturing,Manufacture of dairy products,1.0
2018,Manufacturing,Manufacture of furniture,3.0
2018,Manufacturing,Manufacture of general-purpose machinery,1.0
2018,Manufacturing,Manufacture of knitted and crocheted apparel,
2018,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,14.0
2018,Manufacturing,Manufacture of other chemical products,12.0
2018,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,1.0
2018,Manufacturing,Manufacture of other food products,37.0
2018,Manufacturing,Manufacture of paper and paper products,1.0
2018,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",10.0
2018,Manufacturing,Manufacture of plastics products,1.0
2018,Manufacturing,Manufacture of prepared animal feeds,
2018,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",25.0
2018,Manufacturing,Manufacture of refined petroleum products,
2018,Manufacturing,Manufacture of rubber products,2.0
2018,Manufacturing,Manufacture of sports goods,
2018,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",4.0
2018,Manufacturing,Manufacture of vegetable and animal oils and fats,8.0
2018,Manufacturing,"Manufacture of wearing apparel, except fur apparel",16.0
2018,Human health and social work activities,Medical and dental practice activities,20.0
2018,Mining and quarrying,Mining and quarrying n.e.c.,3.0
2018,"Agriculture, forestry and fishing",Mixed farming,1.0
2018,Financial and insurance activities,Monetary intermediation,5.0
2018,Information and communication,"Motion picture, video and television programme activities",3.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,16.0
2018,Administrative and support service activities,Office administrative and support activities,8.0
2018,Administrative and support service activities,Organization of conventions and trade shows,4.0
2018,"Arts, entertainment and recreation",Other amusement and recreation activities,58.0
2018,Education,Other education,16.0
2018,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",65.0
2018,Human health and social work activities,Other human health activities,32.0
2018,Transportation and storage,Other land transport,565.0
2018,Manufacturing,Other manufacturing n.e.c.,7.0
2018,Other service activities,Other personal service activities,51.0
2018,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",142.0
2018,Administrative and support service activities,Other reservation service and related activities,
2018,Construction,Other specialized construction activities,12.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,16.0
2018,Information and communication,Other telecommunications activities,17.0
2018,Transportation and storage,Passenger air transport,11.0
2018,"Professional, scientific and technical activities",Photographic activities,20.0
2018,"Agriculture, forestry and fishing",Plant propagation,
2018,Transportation and storage,Postal activities,6.0
2018,Education,Pre-primary and primary education,18.0
2018,Manufacturing,Printing and service activities related to printing,21.0
2018,Administrative and support service activities,Private security activities,23.0
2018,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2018,Manufacturing,Processing and preserving of fruit and vegetables,1.0
2018,Manufacturing,Processing and preserving of meat,4.0
2018,Public administration and defence; compulsory social security,Provision of services to the community as a whole,1.0
2018,Information and communication,"Publishing of books, periodicals and other publishing activities",3.0
2018,Mining and quarrying,"Quarrying of stone, sand and clay",15.0
2018,Information and communication,Radio broadcasting,2.0
2018,Real estate activities,Real estate activities on a fee or contract basis,94.0
2018,Real estate activities,Real estate activities with own or leased property,8.0
2018,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,4.0
2018,Administrative and support service activities,Renting and leasing of motor vehicles,38.0
2018,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",46.0
2018,Administrative and support service activities,Renting and leasing of personal and household goods,4.0
2018,Other service activities,Repair of computers and communication equipment,20.0
2018,Manufacturing,"Repair of fabricated metal products, machinery and equipment",51.0
2018,Other service activities,Repair of personal and household goods,16.0
2018,Information and communication,Reproduction of recorded media,
2018,Accommodation and food service activities,Restaurants and mobile food service activities,273.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,621.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,26.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,11.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",37.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,16.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,337.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,45.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,6.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",9.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,16.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,11.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",21.0
2018,Information and communication,Satellite telecommunications activities,6.0
2018,Manufacturing,Sawmilling and planing of wood,3.0
2018,Transportation and storage,Sea and coastal water transport,50.0
2018,Education,Secondary education,1.0
2018,Administrative and support service activities,Security systems service activities,4.0
2018,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2018,Accommodation and food service activities,Short term accommodation activities,138.0
2018,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2018,Information and communication,Sound recording and music publishing activities,1.0
2018,"Professional, scientific and technical activities",Specialized design activities,7.0
2018,Manufacturing,"Spinning, weaving and finishing of textiles",2.0
2018,"Arts, entertainment and recreation",Sports activities,11.0
2018,Transportation and storage,Support activities for transportation,149.0
2018,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,2.0
2018,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1.0
2018,Information and communication,Television programming and broadcasting activities,5.0
2018,Administrative and support service activities,Travel agency and tour operator activities,99.0
2018,Financial and insurance activities,"Trusts, funds and similar financial entities",6.0
2018,"Professional, scientific and technical activities",Veterinary activities,2.0
2018,Transportation and storage,Warehousing and storage,12.0
2018,"Water supply; sewerage, waste management and remediation activities",Waste collection,2.0
2018,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2018,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",4.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,6.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",5.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,20.0
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",5.0
2018,Information and communication,Wired telecommunications activities,1.0
2018,Information and communication,Wireless telecommunications activities,9.0
2019,,,4615.0
2019,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",37.0
2019,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",25.0
2019,Financial and insurance activities,Activities auxiliary to insurance and pension funding,12.0
2019,Other service activities,"Activities of business, employers and professional membership organizations",1.0
2019,Administrative and support service activities,Activities of call centres,
2019,Administrative and support service activities,Activities of employment placement agencies,9.0
2019,"Professional, scientific and technical activities",Activities of head offices,29.0
2019,"Professional, scientific and technical activities",Advertising,17.0
2019,"Agriculture, forestry and fishing",Animal production,8.0
2019,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,41.0
2019,Accommodation and food service activities,Beverage serving activities,99.0
2019,Construction,Building completion and finishing,1.0
2019,Manufacturing,Building of ships and boats,1.0
2019,Administrative and support service activities,Business support service activities n.e.c.,16.0
2019,Manufacturing,Casting of metals,
2019,Administrative and support service activities,Cleaning activities,21.0
2019,Information and communication,"Computer programming, consultancy and related activities",10.0
2019,Construction,Construction of buildings,183.0
2019,Construction,Construction of other civil engineering projects,3.0
2019,Construction,Construction of roads and railways,20.0
2019,Construction,Construction of utility projects,2.0
2019,Transportation and storage,Courier activities,
2019,"Arts, entertainment and recreation","Creative, arts and entertainment activities",8.0
2019,Information and communication,"Data processing, hosting and related activities; web portals",4.0
2019,Construction,Demolition and site preparation,6.0
2019,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",6.0
2019,Construction,"Electrical, plumbing and other construction installation activities",55.0
2019,Accommodation and food service activities,Event catering and other food service activities,31.0
2019,"Agriculture, forestry and fishing",Fishing,3.0
2019,"Arts, entertainment and recreation",Gambling and betting activities,
2019,"Agriculture, forestry and fishing",Growing of non-perennial crops,2.0
2019,"Agriculture, forestry and fishing",Growing of perennial crops,3.0
2019,Education,Higher education,5.0
2019,Human health and social work activities,Hospital activities,3.0
2019,Transportation and storage,Inland water transport,
2019,Administrative and support service activities,Landscape care and maintenance service activities,13.0
2019,"Professional, scientific and technical activities",Legal activities,29.0
2019,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",2.0
2019,"Agriculture, forestry and fishing",Logging,1.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Maintenance and repair of motor vehicles,76.0
2019,"Professional, scientific and technical activities",Management consultancy activities,115.0
2019,Manufacturing,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",1.0
2019,Manufacturing,Manufacture of basic iron and steel,7.0
2019,Manufacturing,Manufacture of beverages,9.0
2019,Manufacturing,Manufacture of dairy products,1.0
2019,Manufacturing,Manufacture of furniture,4.0
2019,Manufacturing,Manufacture of general-purpose machinery,1.0
2019,Manufacturing,Manufacture of knitted and crocheted apparel,
2019,Manufacturing,Manufacture of non-metallic mineral products n.e.c.,13.0
2019,Manufacturing,Manufacture of other chemical products,17.0
2019,Manufacturing,Manufacture of other fabricated metal products; metalworking service activities,
2019,Manufacturing,Manufacture of other food products,43.0
2019,Manufacturing,Manufacture of paper and paper products,1.0
2019,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",14.0
2019,Manufacturing,Manufacture of plastics products,1.0
2019,Manufacturing,Manufacture of prepared animal feeds,1.0
2019,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",24.0
2019,Manufacturing,Manufacture of refined petroleum products,
2019,Manufacturing,Manufacture of rubber products,2.0
2019,Manufacturing,Manufacture of sports goods,
2019,Manufacturing,"Manufacture of structural metal products, tanks, reservoirs and steam generators",3.0
2019,Manufacturing,Manufacture of vegetable and animal oils and fats,9.0
2019,Manufacturing,"Manufacture of wearing apparel, except fur apparel",17.0
2019,Human health and social work activities,Medical and dental practice activities,33.0
2019,Mining and quarrying,Mining and quarrying n.e.c.,1.0
2019,"Agriculture, forestry and fishing",Mixed farming,
2019,Financial and insurance activities,Monetary intermediation,5.0
2019,Information and communication,"Motion picture, video and television programme activities",3.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Non-specialized wholesale trade,33.0
2019,Administrative and support service activities,Office administrative and support activities,13.0
2019,Administrative and support service activities,Organization of conventions and trade shows,5.0
2019,"Arts, entertainment and recreation",Other amusement and recreation activities,50.0
2019,Education,Other education,23.0
2019,Financial and insurance activities,"Other financial service activities, except insurance and pension funding activities",69.0
2019,Human health and social work activities,Other human health activities,30.0
2019,Transportation and storage,Other land transport,504.0
2019,Manufacturing,Other manufacturing n.e.c.,6.0
2019,Other service activities,Other personal service activities,39.0
2019,"Professional, scientific and technical activities","Other professional, scientific and technical activities n.e.c.",149.0
2019,Administrative and support service activities,Other reservation service and related activities,3.0
2019,Construction,Other specialized construction activities,18.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Other specialized wholesale,15.0
2019,Information and communication,Other telecommunications activities,24.0
2019,Transportation and storage,Passenger air transport,17.0
2019,"Professional, scientific and technical activities",Photographic activities,22.0
2019,"Agriculture, forestry and fishing",Plant propagation,
2019,Transportation and storage,Postal activities,4.0
2019,Education,Pre-primary and primary education,20.0
2019,Manufacturing,Printing and service activities related to printing,22.0
2019,Administrative and support service activities,Private security activities,35.0
2019,Manufacturing,"Processing and preserving of fish, crustaceans and molluscs",
2019,Manufacturing,Processing and preserving of fruit and vegetables,1.0
2019,Manufacturing,Processing and preserving of meat,3.0
2019,Public administration and defence; compulsory social security,Provision of services to the community as a whole,3.0
2019,Information and communication,"Publishing of books, periodicals and other publishing activities",2.0
2019,Mining and quarrying,"Quarrying of stone, sand and clay",20.0
2019,Information and communication,Radio broadcasting,2.0
2019,Real estate activities,Real estate activities on a fee or contract basis,114.0
2019,Real estate activities,Real estate activities with own or leased property,12.0
2019,"Water supply; sewerage, waste management and remediation activities",Remediation activities and other waste management services,7.0
2019,Administrative and support service activities,Renting and leasing of motor vehicles,45.0
2019,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods",51.0
2019,Administrative and support service activities,Renting and leasing of personal and household goods,8.0
2019,Other service activities,Repair of computers and communication equipment,17.0
2019,Manufacturing,"Repair of fabricated metal products, machinery and equipment",48.0
2019,Other service activities,Repair of personal and household goods,20.0
2019,Information and communication,Reproduction of recorded media,
2019,Accommodation and food service activities,Restaurants and mobile food service activities,285.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale in non-specialized stores,577.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of automotive fuel in specialized stores,28.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of cultural and recreation goods in specialized stores,11.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail sale of food, beverages and tobacco in specialized stores",71.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of information and communications equipment in specialized stores,17.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other goods in specialized stores,386.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale of other household equipment in specialized stores,43.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Retail sale via stalls and markets,5.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Retail trade not in stores, stalls or markets",10.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicle parts and accessories,23.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Sale of motor vehicles,13.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",23.0
2019,Information and communication,Satellite telecommunications activities,5.0
2019,Manufacturing,Sawmilling and planing of wood,2.0
2019,Transportation and storage,Sea and coastal water transport,47.0
2019,Education,Secondary education,2.0
2019,Administrative and support service activities,Security systems service activities,4.0
2019,"Water supply; sewerage, waste management and remediation activities",Sewerage,
2019,Accommodation and food service activities,Short term accommodation activities,154.0
2019,"Agriculture, forestry and fishing",Silviculture and other forestry activities,
2019,Information and communication,Sound recording and music publishing activities,2.0
2019,"Professional, scientific and technical activities",Specialized design activities,6.0
2019,Manufacturing,"Spinning, weaving and finishing of textiles",1.0
2019,"Arts, entertainment and recreation",Sports activities,10.0
2019,Transportation and storage,Support activities for transportation,139.0
2019,"Agriculture, forestry and fishing",Support activities to agriculture and post-harvest crop activities,3.0
2019,Manufacturing,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",1.0
2019,Information and communication,Television programming and broadcasting activities,6.0
2019,Administrative and support service activities,Travel agency and tour operator activities,97.0
2019,Financial and insurance activities,"Trusts, funds and similar financial entities",6.0
2019,"Professional, scientific and technical activities",Veterinary activities,2.0
2019,Transportation and storage,Warehousing and storage,22.0
2019,"Water supply; sewerage, waste management and remediation activities",Waste collection,1.0
2019,"Water supply; sewerage, waste management and remediation activities",Waste treatment and disposal,
2019,"Water supply; sewerage, waste management and remediation activities","Water collection, treatment and supply",3.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of agricultural raw materials and live animals,9.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of food, beverages and tobacco",2.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,Wholesale of household goods,20.0
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles,"Wholesale of machinery, equipment and supplies",5.0
2019,Information and communication,Wired telecommunications activities,2.0
2019,Information and communication,Wireless telecommunications activities,11.0
2020,,,4613.0
2020,"Professional, scientific and technical activities","Accounting, bookkeeping and auditing activities; tax consultancy",39.0
2020,Financial and insurance activities,"Activities auxiliary to financial service activities, except insurance and pension funding",21.0
2020,Financial and insurance activities,Activities auxiliary to insurance and pension funding,14.0
2020,Other service activities,"Activities of business, employers and professional membership organizations",1.0
2020,Administrative and support service activities,Activities of call centres,
2020,Administrative and support service activities,Activities of employment placement agencies,8.0
2020,"Professional, scientific and technical activities",Activities of head offices,28.0
2020,"Professional, scientific and technical activities",Advertising,21.0
2020,"Agriculture, forestry and fishing",Animal production,9.0
2020,"Professional, scientific and technical activities",Architectural and engineering activities and related technical consultancy,41.0
2020,Accommodation and food service activities,Beverage serving activities,91.0
2020,Construction,Building completion and finishing,3.0
2020,Manufacturing,Building of ships and boats,2.0
2020,Administrative and support service activities,Business support service activities n.e.c.,18.0
2020,Manufacturing,Casting of metals,
2020,Administrative and support service activities,Cleaning activities,17.0
2020,Information and communication,"Computer programming, consultancy and related activities",11.0
2020,Construction,Construction of buildings,238.0
2020,Construction,Construction of other civil engineering projects,3.0
2020,Construction,Construction of roads and railways,20.0
2020,Construction,Construction of utility projects,2.0
2020,Transportation and storage,Courier activities,
2020,"Arts, entertainment and recreation","Creative, arts and entertainment activities",8.0
2020,Information and communication,"Data processing, hosting and related activities; web portals",5.0
2020,Construction,Demolition and site preparation,3.0
2020,"Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution",11.0
2020,Construction,"Electrical, plumbing and other construction installation activities",63.0
2020,Accommodation and food service activities,Event catering and other food service activities,24.0
2020,"Agriculture, forestry and fishing",Fishing,2.0
